vtmId,dose,unit,vmpId
13298301000001100,400,mg,317315001
13294001000001108,500,mg,319429006
13294001000001108,750,mg,319430001
9723911000001106,10,mg,320775009
9723911000001106,25,mg,320776005
13297301000001101,375,mg,320935009
13314711000001103,1,mg,321412006
13314711000001103,2.5,mg,321413001
13314711000001103,5,mg,321414007
108952000,500,mg,321941009
13868511000001100,25,mg,322157007
10049011000001109,200,mg,322956002
10049011000001109,500,mg,322957006
13292201000001107,250,mg,324316009
13590911000001107,250,mg,324896003
13816311000001106,300,mg,324915004
13816611000001101,200,mg,324919005
13816611000001101,300,mg,324920004
13294101000001109,1.5,mg,325560001
230381000001108,250,mg,327104000
230381000001108,500,mg,327106003
13296201000001108,120,mg,327243008
13297701000001102,50,mg,329249000
230581000001104,10,mg,329251001
230581000001104,20,mg,329252008
230581000001104,50,mg,329253003
9871311000001105,50,mg,329396005
230391000001105,500,mg,329475004
13292501000001105,500,mg,337375002
9723911000001106,20,mg,348476002
13591011000001104,200,mg,353857000
13296001000001102,100,mg,374449003
87881000,50,mg,374506002
87881000,50,mg,374506002
16599711000001108,25,mg,375534004
329195003,400,mg,376652001
329195003,400,mg,376652001
7336002,50,mg,376689003
7336002,50,mg,376689003
7336002,100,mg,376690007
7336002,100,mg,376690007
77390008,1,mg,376816002
77390008,1,mg,376816002
9902611000001105,500,mg,376817006
36408311000001108,40,mg,408024009
36408311000001108,10,mg,408036003
36408311000001108,20,mg,408037007
36408311000001108,5,mg,409108001
10504007,100,mg,421341000
10504007,100,mg,421341000
108537001,2.5,mg,429828006
108537001,2.5,mg,429828006
108418007,4,mg,116381000001102
108418007,8,mg,116391000001100
10099000,100,mg,3377811000001108
108622005,200,microgram,3432911000001109
108622005,400,microgram,3433011000001101
13294501000001104,20,mg,3439011000001103
10568711000001105,1,mg,3508711000001106
71516007,1.25,mg,3630011000001108
71516007,250,microgram,3630111000001109
319442006,40,mg,3678211000001103
73756003,200,mg,3682911000001100
398628008,300,mg,3818011000001108
108473005,500,microgram,3897811000001100
129484001,1,mg,3909211000001103
77898008,100,mg,3973511000001105
108666007,15,mg,4053411000001103
108666007,30,mg,4053511000001104
12236006,125,mg,4077911000001100
326066005,25,microgram,4195611000001103
326066005,50,microgram,4195711000001107
46123006,500,mg,4245011000001101
46123006,500,mg,4245111000001100
63136007,1,mg,4245511000001109
230581000001104,10,mg,4245611000001108
412130008,100,mg,4246011000001105
398674007,5,mg,4246511000001102
412130008,30,mg,4252911000001107
349993000,100,mg,4262711000001104
329507006,15,mg,4262811000001107
10043411000001102,400,mg,4283311000001106
10043411000001102,500,mg,4283411000001104
10043411000001102,500,mg,4283511000001100
10043411000001102,600,mg,4283611000001101
9900511000001105,500,mg,4288211000001106
12495006,100,mg,4288611000001108
13297701000001102,250,mg,4288711000001104
23974411000001107,500,mg,4289011000001106
329260009,50,mg,4289111000001107
420711005,50,mg,4289211000001101
420711005,30,mg,4349911000001107
36408211000001100,2.5,mg,4367711000001105
385570006,500,microgram,4367811000001102
84951002,12.5,mg,4427511000001104
36408011000001105,20,mg,4556311000001104
38268001,200,mg,4557011000001104
7336002,150,mg,4557211000001109
7947003,300,mg,4558011000001103
349912006,5,mg,4558111000001102
16037009,120,mg,4558711000001101
91107009,50,mg,4559211000001103
17805003,564,mg,4559411000001104
55217007,500,mg,4559611000001101
55217007,800,mg,4598211000001104
91435002,120,mg,4615011000001105
60468008,300,mg,4623411000001107
77898008,125,mg,4623711000001101
77898008,125,mg,4623811000001109
46009007,5,mg,4651711000001101
321603004,12,mg,4748211000001109
321603004,16,mg,4748311000001101
321603004,20,mg,4748411000001108
321603004,4,mg,4748511000001107
544002,5,mg,4843711000001105
421958003,360,mg,4859911000001108
9871311000001105,100,mg,4897511000001101
30125007,12,mg,5000211000001106
30125007,15,mg,5000311000001103
63639004,375,mg,5001711000001107
421353001,500,mg,5241611000001103
108430001,45,mg,5627911000001100
419158001,500,mg,7400611000001100
109033004,30,mg,7503511000001104
350057002,200,microgram,7566211000001105
412130008,10,mg,7595811000001100
46123006,500,mg,7596511000001105
55217007,266.6,mg,7596811000001108
10043411000001102,550,mg,7597411000001108
46123006,100,mg,7640611000001109
412130008,90,mg,7642111000001102
418834008,500,mg,7660911000001108
412421007,500,mg,7661011000001100
420129007,500,mg,7661211000001105
424369009,200,mg,7661511000001108
96119002,400,mg,7719011000001108
9902111000001102,3,mg,7719211000001103
55217007,166.67,mg,7719311000001106
13296501000001106,550,mg,7719511000001100
13293601000001103,550,mg,7719611000001101
412351000,200,microgram,7719711000001105
422528000,2.5,mg,7719811000001102
50868004,15,mg,7719911000001107
13298001000001103,1,mg,7720211000001104
13294001000001108,500,mg,7720311000001107
12495006,200,mg,7720511000001101
419458008,100,mg,7720611000001102
116523008,10,mg,7720711000001106
116523008,1,mg,7720811000001103
350057002,100,microgram,7721311000001102
350057002,50,microgram,7721411000001109
420672000,200,mg,7721511000001108
420672000,50,mg,7721611000001107
420444000,50,mg,7721711000001103
46123006,1,g,7722211000001103
46123006,500,mg,7722311000001106
230581000001104,100,mg,7722411000001104
116118002,500,mg,7820711000001109
418246001,500,mg,7821011000001103
116523008,2.5,mg,7821111000001102
116523008,20,mg,7821211000001108
116523008,3,mg,7821311000001100
116523008,3,mg,7821411000001107
116523008,500,microgram,7821511000001106
13295901000001106,50,mg,7822611000001104
421381007,22,mg,7875311000001104
